open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
2025-07-05 16:00:00,108058.0,108112.8,107864.75,108101.99,216.8031,2025-07-05 16:59:59.999999,23412467.0756647,37549,106.47633,11497414.6990093
2025-07-05 17:00:00,108101.99,108159.0,107941.0,108090.08,128.19149,2025-07-05 17:59:59.999999,13849925.5342065,31936,77.16064,8336848.3499849
2025-07-05 18:00:00,108090.08,108098.0,107965.51,108010.0,120.9452,2025-07-05 18:59:59.999999,13063536.1764783,23495,58.82371,6353322.8548601
2025-07-05 19:00:00,108010.01,108167.23,107953.03,108141.78,120.25631,2025-07-05 19:59:59.999999,12993685.0476334,20074,61.25879,6619617.5221417
2025-07-05 20:00:00,108141.78,108159.39,107993.39,108096.75,99.85777,2025-07-05 20:59:59.999999,10791396.3832631,22392,31.95369,3452773.1551208
2025-07-05 21:00:00,108096.74,108140.0,108061.53,108090.0,83.77406,2025-07-05 21:59:59.999999,9056699.7331192,25494,39.5549,4276090.3046277
2025-07-05 22:00:00,108089.99,108200.0,108048.25,108188.47,91.98951,2025-07-05 22:59:59.999999,9947891.9111101,23362,46.57084,5036215.1549097
2025-07-05 23:00:00,108188.46,108250.0,108181.61,108198.12,208.53945,2025-07-05 23:59:59.999999,22566970.0814926,15857,155.45862,16823010.5782247
2025-07-06 00:00:00,108198.12,108250.0,108112.96,108206.99,89.82019,2025-07-06 00:59:59.999999,9717071.4676172,20895,40.0403,4331828.6476473
2025-07-06 01:00:00,108206.99,108218.25,108084.92,108218.25,95.82235,2025-07-06 01:59:59.999999,10363441.4990199,16441,44.63672,4827823.3435166
2025-07-06 02:00:00,108218.25,108268.35,108060.02,108060.02,133.80239,2025-07-06 02:59:59.999999,14476369.1290229,19960,73.37367,7939431.6205874
2025-07-06 03:00:00,108060.0,108100.0,108025.97,108050.49,77.80971,2025-07-06 03:59:59.999999,8407282.9823016,18713,35.05899,3788053.6511757
2025-07-06 04:00:00,108050.49,108100.0,107930.45,107989.11,116.9031,2025-07-06 04:59:59.999999,12625641.0488441,15960,35.05996,3786959.8391865
2025-07-06 05:00:00,107989.1,108010.13,107962.19,108003.35,83.81175,2025-07-06 05:59:59.999999,9051384.4028889,11677,48.27301,5213310.6987122
2025-07-06 06:00:00,108003.36,108218.0,107977.7,108121.98,156.92717,2025-07-06 06:59:59.999999,16961973.4991863,23741,100.14333,10823474.1736446
2025-07-06 07:00:00,108121.99,108194.59,108040.17,108040.31,140.25482,2025-07-06 07:59:59.999999,15161915.6482863,20139,53.20839,5753039.2368097
2025-07-06 08:00:00,108040.31,108065.69,107969.31,108005.27,238.55538,2025-07-06 08:59:59.999999,25761932.6319007,19319,168.39194,18183353.001609
2025-07-06 09:00:00,108005.27,108056.01,107817.8,107850.01,198.30154,2025-07-06 09:59:59.999999,21405902.3098457,23606,56.82989,6135451.8638302
2025-07-06 10:00:00,107850.0,108111.0,107800.01,107990.93,218.41123,2025-07-06 10:59:59.999999,23580948.1219531,29398,112.21689,12115700.5629774
2025-07-06 11:00:00,107990.93,108079.17,107949.99,108076.01,85.72788,2025-07-06 11:59:59.999999,9258717.6102832,16813,49.65515,5362810.0996295
2025-07-06 12:00:00,108076.0,108233.0,108045.76,108232.99,204.94128,2025-07-06 12:59:59.999999,22158815.0592662,22819,92.13054,9961917.8944239
2025-07-06 13:00:00,108233.0,109127.03,108191.85,108772.17,934.17809,2025-07-06 13:59:59.999999,101549247.2294605,150393,539.99596,58697872.4399068
2025-07-06 14:00:00,108772.18,109049.27,108612.0,108933.25,560.71245,2025-07-06 14:59:59.999999,61026481.550514,114128,237.14272,25809997.6859809
2025-07-06 15:00:00,108933.25,109000.12,108665.86,108905.99,493.52424,2025-07-06 15:59:59.999999,53737151.7299978,62081,192.27955,20932913.6448006
2025-07-06 16:00:00,108906.0,108955.63,108708.0,108856.92,239.51721,2025-07-06 16:59:59.999999,26065183.6050943,50593,141.58704,15407242.7920183
2025-07-06 17:00:00,108856.92,108966.62,108727.16,108919.22,143.19416,2025-07-06 17:59:59.999999,15587575.6683415,33111,77.29083,8414067.7820525
2025-07-06 18:00:00,108919.23,108928.0,108266.67,108463.99,356.56585,2025-07-06 18:59:59.999999,38692062.357714,81527,158.21448,17166221.7191598
2025-07-06 19:00:00,108464.0,108630.95,108307.69,108538.46,182.73112,2025-07-06 19:59:59.999999,19826108.6554003,51940,105.40586,11436292.5882201
2025-07-06 20:00:00,108538.45,108840.0,108536.86,108665.47,128.29699,2025-07-06 20:59:59.999999,13949769.9789634,49593,74.31079,8079097.9522454
2025-07-06 21:00:00,108665.48,109700.0,108665.47,109208.25,810.60996,2025-07-06 21:59:59.999999,88625667.1905938,213328,431.54383,47178641.8641515
2025-07-06 22:00:00,109208.24,109526.69,109203.86,109228.73,464.06563,2025-07-06 22:59:59.999999,50755343.3287831,109137,211.53093,23135475.3454254
2025-07-06 23:00:00,109228.73,109278.18,108977.54,109203.84,293.12251,2025-07-06 23:59:59.999999,31987312.8059411,81279,131.03825,14299665.7854627
2025-07-07 00:00:00,109203.85,109288.02,108800.01,108823.07,253.63512,2025-07-07 00:59:59.999999,27650809.5940451,87553,115.64322,12607374.0577154
2025-07-07 01:00:00,108823.07,109089.0,108679.75,109019.13,299.62996,2025-07-07 01:59:59.999999,32632922.6234208,80175,142.14196,15480277.0286609
2025-07-07 02:00:00,109019.13,109499.99,109019.12,109364.52,433.83049,2025-07-07 02:59:59.999999,47462043.4492443,72881,221.97931,24282736.0820421
2025-07-07 03:00:00,109364.53,109700.0,109364.52,109389.47,326.56622,2025-07-07 03:59:59.999999,35766230.5016642,61695,183.33557,20079923.7223227
2025-07-07 04:00:00,109389.46,109447.54,109128.72,109128.73,184.07817,2025-07-07 04:59:59.999999,20113609.1085595,42476,47.50196,5190116.7788103
2025-07-07 05:00:00,109128.73,109201.65,109035.21,109079.99,184.85155,2025-07-07 05:59:59.999999,20173691.3242393,37388,100.11235,10925515.8886581
2025-07-07 06:00:00,109079.99,109174.87,108769.23,108774.5,348.32807,2025-07-07 06:59:59.999999,37965440.3975115,45319,203.16289,22146930.910108
2025-07-07 07:00:00,108774.5,109061.08,108654.94,109061.08,351.63493,2025-07-07 07:59:59.999999,38278051.6676214,46160,202.89643,22087407.8164185
2025-07-07 08:00:00,109061.07,109087.86,108860.5,109011.7,211.49643,2025-07-07 08:59:59.999999,23046538.132379,47962,117.10916,12761614.8484129
2025-07-07 09:00:00,109011.7,109011.71,108761.13,108849.06,259.49114,2025-07-07 09:59:59.999999,28244580.0358809,39112,136.87956,14897669.3191145
2025-07-07 10:00:00,108849.05,108899.32,108660.14,108664.14,967.12524,2025-07-07 10:59:59.999999,105183255.0445832,77039,243.92386,26528725.1297053
2025-07-07 11:00:00,108664.15,108801.0,108572.52,108642.01,355.32653,2025-07-07 11:59:59.999999,38619796.6029503,51206,115.64472,12567967.6525996
2025-07-07 12:00:00,108642.01,108642.02,108303.83,108346.85,889.93465,2025-07-07 12:59:59.999999,96513851.6850094,84473,188.07508,20397422.8196691
2025-07-07 13:00:00,108346.86,108572.0,108019.23,108536.84,726.60378,2025-07-07 13:59:59.999999,78653352.0367844,177147,340.91021,36903698.6239951
2025-07-07 14:00:00,108536.84,108660.0,107970.0,108223.14,535.69464,2025-07-07 14:59:59.999999,57979846.7024088,169535,243.98097,26410694.4986126
2025-07-07 15:00:00,108223.14,108621.45,108223.14,108292.59,364.16316,2025-07-07 15:59:59.999999,39480223.6243738,111378,144.7424,15692124.0175601
2025-07-07 16:00:00,108292.59,108493.56,107906.25,107976.91,640.2301,2025-07-07 16:59:59.999999,69258977.5428008,196166,249.41735,26978640.7477233
2025-07-07 17:00:00,107976.91,108354.0,107811.0,107943.15,381.91342,2025-07-07 17:59:59.999999,41251635.2736002,132138,164.02307,17721766.4062007
2025-07-07 18:00:00,107943.16,108100.0,107513.2,108024.53,492.15098,2025-07-07 18:59:59.999999,53029763.0111263,105861,196.11045,21131054.9661925
2025-07-07 19:00:00,108024.53,108314.72,108009.99,108056.68,311.81983,2025-07-07 19:59:59.999999,33732428.086993,93395,135.02527,14607047.9800259
2025-07-07 20:00:00,108056.67,108140.5,107866.66,107886.85,220.5076,2025-07-07 20:59:59.999999,23809994.8579439,64444,86.32167,9319545.2563251
2025-07-07 21:00:00,107886.85,108213.0,107800.01,108166.95,283.98408,2025-07-07 21:59:59.999999,30659881.4788558,52925,173.47451,18725236.3293394
2025-07-07 22:00:00,108166.94,108180.0,107973.06,108019.23,222.87717,2025-07-07 22:59:59.999999,24080443.3654483,51329,84.99563,9183128.3915765
2025-07-07 23:00:00,108019.23,108300.0,108019.23,108262.94,159.50275,2025-07-07 23:59:59.999999,17260949.90626,34183,83.51469,9037482.5304501
